title,postCreated,link,source,interest,accessibility,relevance,total_score
Introducing Gemini 2.5 Flash,False,https://deepmind.google/discover/blog/introducing-gemini-2-5-flash/,https://www.deepmind.com/blog/rss.xml,5,5,5.0,5.0
Generate videos in Gemini and Whisk with Veo 2,False,https://deepmind.google/discover/blog/generate-videos-in-gemini-and-whisk-with-veo-2/,https://www.deepmind.com/blog/rss.xml,5,5,5.0,5.0
DolphinGemma: How Google AI is helping decode dolphin communication,True,https://deepmind.google/discover/blog/dolphingemma-how-google-ai-is-helping-decode-dolphin-communication/,https://www.deepmind.com/blog/rss.xml,8,9,7.0,8.0
Taking a responsible path to AGI,False,https://deepmind.google/discover/blog/taking-a-responsible-path-to-agi/,https://www.deepmind.com/blog/rss.xml,8,7,6.0,7.0
Evaluating potential cybersecurity threats of advanced AI,False,https://deepmind.google/discover/blog/evaluating-potential-cybersecurity-threats-of-advanced-ai/,https://www.deepmind.com/blog/rss.xml,5,5,5.0,5.0
Load-Testing LLMs Using LLMPerf,False,https://towardsdatascience.com/601488-2/,https://towardsdatascience.com/feed,7,8,8.0,7.666666666666667
When Physics Meets Finance: Using AI to Solve Black-Scholes,False,https://towardsdatascience.com/when-physics-meets-finance-using-ai-to-solve-black-scholes/,https://towardsdatascience.com/feed,6,8,7.0,7.0
Google’s New AI System Outperforms Physicians in Complex Diagnoses,True,https://towardsdatascience.com/googles-new-ai-system-outperforms-physicians-in-complex-diagnoses/,https://towardsdatascience.com/feed,7,8,9.0,8.0
The Good-Enough Truth,True,https://towardsdatascience.com/the-good-enough-truth/,https://towardsdatascience.com/feed,8,7,9.0,8.0
When Predictors Collide: Mastering VIF in Multicollinear Regression,False,https://towardsdatascience.com/when-predictors-collide-mastering-vif-in-multicollinear-regression/,https://towardsdatascience.com/feed,7,8,6.0,7.0
How Netflix Accurately Attributes eBPF Flow Logs,False,https://netflixtechblog.com/how-netflix-accurately-attributes-ebpf-flow-logs-afe6d644a3bc?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,6.0,7.0
Globalizing Productions with Netflix’s Media Production Suite,False,https://netflixtechblog.com/globalizing-productions-with-netflixs-media-production-suite-fc3c108c0a22?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,6.0,7.0
Foundation Model for Personalized Recommendation,False,https://netflixtechblog.com/foundation-model-for-personalized-recommendation-1a0bd8e02d39?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,5.0,6.666666666666667
HDR10+ Now Streaming on Netflix,False,https://netflixtechblog.com/hdr10-now-streaming-on-netflix-c9ab1f4bd72b?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,7,8,3.0,6.0
Title Launch Observability at Netflix Scale,False,https://netflixtechblog.com/title-launch-observability-at-netflix-scale-8efe69ebd653?source=rss----2615bd06b42e---4,https://netflixtechblog.com/feed,8,7,6.0,7.0
A Behind-the-Scenes Look at How We Release the Spotify App (Part 1),False,https://engineering.atspotify.com/2025/04/how-we-release-the-spotify-app-part-1/,https://engineering.atspotify.com/feed/,7,8,5.0,6.666666666666667
An Insider’s Tips for Taking the Certified Backstage Associate (CBA) Exam,False,https://engineering.atspotify.com/2025/03/certified-backstage-associate-exam-tips/,https://engineering.atspotify.com/feed/,5,5,5.0,5.0
Building Confidence: A Case Study in How to Create Confidence Scores for GenAI Applications,False,https://engineering.atspotify.com/2024/12/building-confidence-a-case-study-in-how-to-create-confidence-scores-for-genai-applications/,https://engineering.atspotify.com/feed/,5,5,5.0,5.0
Congratulations to the Recipients of the 2024 Spotify FOSS Fund,False,https://engineering.atspotify.com/2024/11/congratulations-to-the-recipients-of-the-2024-spotify-foss-fund/,https://engineering.atspotify.com/feed/,5,5,5.0,5.0
How We Generated Millions of Content Annotations,False,https://engineering.atspotify.com/2024/10/how-we-generated-millions-of-content-annotations/,https://engineering.atspotify.com/feed/,5,5,5.0,5.0
"Generating components, not tokens",False,https://stackoverflow.blog/2025/04/18/generating-components-not-tokens/,https://stackoverflow.blog/feed/,5,5,5.0,5.0
"Wait, what is agentic AI?",False,https://stackoverflow.blog/2025/04/17/wait-what-is-agentic-ai/,https://stackoverflow.blog/feed/,5,5,5.0,5.0
